Isaako Aaitui 
Hosea Fortune 
Ike Forte 
Joe Fortunato 
Jody Fortson 
Joe Fortunato 
Khairi Fortt 
L.J. Fort 
Luke Fortner 
Matt Forte 
Roman Fortin 
John Foruria 
J.P. Foschi 
Bob Fosdick 
Arian Foster 
Barry Foster 
Bob Foster 
D.J. Foster 
DeShaun Foster 
Derrick Foster 
Eddie Foster 
Eric Foster 
Fred Foster 
Gene Foster 
George Foster 
Glenn Foster 
Jerome Foster 
Larry Foster 
Mason Foster 
Ralph Foster 
Ramon Foster 
Reuben Foster 
Renardo Foster 
Roy Foster 
Robert Foster 
Ron Foster 
Wally Foster 
Will Foster 
Leki Fotu 
David Foucault 
Elbert Foules 
Daurice Fountain 
Jamal Fountaine 
John Fourcade 
Keith Fourcade 
Leonard Fournette 
Sid Fournet 
Dan Fouts 
Amos Fowler 
Aubrey Fowler 
Bennie Fowler 
Bobby Fowler 
Bobby Fowler 
Charlie Fowler 
Dante Fowler 
Dan Fowler 
Dennis Fowlkes 
Eric Fowler 
Jalston Fowler 
Jerry Fowler 
Melvin Fowler 
Ryan Fowler 
Todd Fowler 
Wayne Fowler 
Willmer Fowler 
Domonique Foxworth 
Chas Fox 
Dan Fox 
Dion Foxx 
Dustin Fox 
Jack Fox 
Jason Fox 
Keyaron Fox 
Mike Fox 
Morgan Fox 
Sam Fox 
Scott Fox 
Terry Fox 
Tim Fox 
Tomon Fox 
Vernon Fox 
Mitchell Fraboni 
Reid Fragel 
Dick Frahm 
Todd Frain 
Bill Fralic 
Hank Fraley 
Eric Frampton 
A.J. Francis 
Aaron Francisco 
Andra Franklin 
Andrew Franks 
Arnold Franklin 
Aubrayo Franklin 
Bill Frank 
Bobby Franklin 
Brad Franklin 
Bubba Franks 
Byron Franklin 
Carlos Francis 
Brian Franco 
Chris Francies 
Herb Franta 
Cleveland Franklin 
Collin Franklin 
Coye Francies 
Todd France 
Dave Francis 
Dennis Franklin 
Dennis Franks 
Doug France 
Donald Frank 
Dominique Franks 
Ed Franco 
Elvis Franks 
Feleipe Franks 
George Franklin 
Gene Francis 
George Franck 
Ike Frankian 
Jason Franci 
Jacobi Francis 
James Francis 
Jerry Franklin 
Jeff Francis 
Jerrell Franklin 
Jethro Franklin 
John Frank 
Johnathan Franklin 
John Franklin-Myers 
Jordan Franks 
John Franklin 
Joe Francis 
Jon Francis 
Joe Frank 
John Frantz 
Justin Francis 
Keith Franklin 
Tony Franklin 
Larry Franklin 
Malcolm Frank 
Mike Franckowiak 
Nolan Franz 
Orlando Franklin 
P.J. Franklin 
Paul Frank 
Pat Franklin 
Paul Franklin 
Pete Franceschi 
Phil Francis 
Ray Frankowski 
Red Franklin 
Ron Francis 
Rob Francois 
Russ Francis 
Sam Franklin 
Sam Francis 
Stephen Franklin 
Tom Franckhauser 
Todd Franz 
Tracy Franz 
Wallace Francis 
Will Franklin 
Willie Franklin 
Zaire Franklin 
Jim Fraser 
Paul Frase 
Simon Fraser 
Al Frazier 
Andre Frazier 
Charley Frazier 
Cliff Frazier 
Curt Frazier 
Derrick Frazier 
Frank Frazier 
Guy Frazier 
Kavon Frazier 
Lance Frazier 
Leslie Frazier 
Mose Frazier 
Paul Frazier 
Randy Frazier 
Wayne Frazier 
Willie Frazier 
Andy Frederick 
Mike Frederick 
Rob Fredrickson 
Terrence Frederick 
Travis Frederick 
Tucker Frederickson 
Antonio Freeman 
Arturo Freeman 
Bobby Freeman 
Dalton Freeman 
Devonta Freeman 
Doug Free 
Dwight Freeney 
Eddie Freeman 
Jack Freeman 
Jerrell Freeman 
Josh Freeman 
Jonathan Freeny 
Lorenzo Freeman 
Mike Freeman 
Mike Freeman 
Nate Freese 
Phil Freeman 
Reggie Freeman 
Royce Freeman 
Russ Freeman 
Solomon Freelon 
Steve Freeman 
Jesse Freitas 
Jesse Freitas 
Makoa Freitas 
Pat Freiermuth 
Rocky Freitas 
Barry French 
Ernest French 
Walter French 
Gus Frerotte 
Mitch Frerotte 
Nolan Frese 
Dick Frey 
Glenn Frey 
Isaiah Frey 
Ben Fricke 
Ray Frick 
Walt Frickey 
Larry Friday 
Benny Friedman 
Ben Friend 
Bob Friedlund 
Bob Friedman 
Jake Friedman 
John Friesz 
Lennie Friedman 
Mike Friede 
Mike Frier 
Sherwood Fries 
Will Fries 
Byron Frisch 
David Frisch 
Ernie Fritsch 
George Fritts 
Jim Fritzsche 
Louie Fritsch 
Ralph Fritz 
Stan Fritts 
Toni Fritsch 
Ted Fritsch 
Ted Fritsch 
William Frizzell 
Len Frketich 
Bill Frohbose 
Hjalte Froholdt 
Jake Fromm 
Andy Fronczek 
John Frongillo 
Derrick Frost 
Ken Frost 
Scott Frost 
Isaac Fruechte 
Jim Frugone 
Babe Frump 
Ed Frutig 
Irving Fryar 
Brian Fryer 
Brandon Frye 
Charlie Frye 
David Frye 
Kenny Fryer 
Phil Frye 
Bob Fry 
Dustin Fry 
Elliott Fry 
Harry Fry 
Wes Fry 
Chris Fuamatu-Ma'afala 
Alani Fua 
Sione Fua 
Dom Fucci 
Jamaal Fudge 
Jean Fugett 
Dick Fugler 
Scott Fujita 
Bill Fulcher 
David Fulcher 
Mondriel Fulcher 
Travis Fulgham 
Scott Fulhage 
Aaron Fuller 
Brent Fullwood 
Charley Fuller 
Corey Fuller 
Corey Fuller 
Curtis Fuller 
Darrell Fullington 
Eddie Fuller 
Ed Fullerton 
Frank Fuller 
James Fuller 
Jeff Fuller 
John Fullington 
Jordan Fuller 
Joe Fuller 
Johnny Fuller 
Kendall Fuller 
Kyle Fuller 
Kyle Fuller 
Larry Fuller 
Mike Fuller 
Randy Fuller 
Steve Fuller 
Vincent Fuller 
William Fuller 
Will Fuller 
Danny Fulton  
Ed Fulton 
Ken Fulton 
Kristian Fulton 
Mike Fultz 
Ted Fulton 
Zach Fulton 
Troy Fumagalli 
Devin Funchess 
Tom Funchess 
Jake Funk 
John Fuqua 
Ray Fuqua 
Jim Furey 
Tony Furjanic 
Steve Furness 
Mike Furrey 
Will Furrer 
Tony Furst 
Brandon Fusco 
Chuck Fusina 
Thomas Fussell 
Bobby Futrell 
Blaine Gabbert 
Steve Gabbard 
John Gabler 
Doug Gabriel 
Roman Gabriel 
Taylor Gabriel 
Andrew Gachkar 
Dennis Gadbois 
Bob Gaddis 
Christian Gaddis 
Samkon Gado 
Oronde Gadsden 
Mike Gaechter 
Derrick Gaffney 
Jabar Gaffney 
Jim Gaffney 
Monk Gafford 
Jeff Gaffney 
Rico Gafford 
Thomas Gafford 
Bob Gage 
Justin Gage 
Russell Gage 
Steve Gage 
Bob Gagliano 
Dave Gagnon 
Larry Gagner 
Roy Gagnon 
Lamont Gaillard 
Bob Gain 
Charles Gaines 
Chris Gaines 
Charlie Gainor 
Clark Gaines 
Derrick Gainer 
E.J. Gaines 
Greg Gaines 
Greg Gaines 
Innis Gaines 
Kenneth Gainwell 
Lawrence Gaines 
Michael Gaines 
Phillip Gaines 
Sheldon Gaines 
Wendall Gaines 
Wentford Gaines 
William Gaines 
Blane Gaison 
George Gaiser 
Anthony Gaitor 
Bob Gaiters 
Jared Gaither 
Omar Gaither 
Tony Gaiter 
Hokie Gajan 
Stan Galazin 
Harry Galbreath 
Scott Galbraith 
Tony Galbreath 
Dion Gales 
Junior Galette 
Tipa Galeai 
Arnie Galiffa 
Ed Galigher 
Willie Galimore 
Allen Gallaher 
Andy Gallik 
Bernie Gallagher 
Chon Gallegos 
Dave Gallagher 
David Galloway 
Duane Galloway 
Ed Gallagher 
Jim Gallery 
Frank Gallagher 
Hugh Gallarneau 
Joey Galloway 
Laroni Gallishaw 
Michael Gallup 
Mitchell Galloway 
Neville Gallimore 
Nick Gallery 
Robert Gallery 
Tommy Gallarda 
Tony Gallovich 
Wayne Gallman 
John Galvin 
John Galvin 
Scott Galyon 
Vincent Gamache 
Billy Gambrell 
Bob Gambold 
Chris Gamble 
Chris Gambol 
Darryl Gamble 
David Gamble 
Kenny Gamble 
Lu Gambino 
R.C. Gamble 
Trent Gamble 
Kendall Gammon 
Rusty Ganas 
Terrance Ganaway 
Antonio Gandy-Golden 
Dylan Gandy 
Mike Gandy 
Sonny Gandee 
Wayne Gandy 
Chris Gannon 
Mike Gann 
Rich Gannon 
Graham Gano 
Al Gansberg 
Brian Gant 
Earl Gant 
Greg Gantt 
Jerry Gantt 
Kenneth Gant 
Milt Gantenbein 
Quinton Ganther 
Reuben Gant 
Bob Gaona 
Antonio Garay 
Mark Garalczyk 
Tony Garbarczyk 
Bubba Garcia 
Elijah Garcia 
Frank Garcia 
Frank Garcia 
Eddie Garcia 
Teddy Garcia 
Jeff Garcia 
Jerrol Garcia-Williams 
Jim Garcia 
Max Garcia 
Pierre Garcon 
Andrew Gardner 
Barry Gardner 
Birdie Gardner 
Carwell Gardner 
C.J. Gardner-Johnson 
Chris Gardocki 
Daryl Gardener 
Dennis Gardeck 
Derrick Gardner 
Don Gardner 
Donnie Gardner 
Ellis Gardner 
Frank Garden 
Gilbert Gardner 
Gus Gardella 
Isaiah Gardner 
Moe Gardner 
Moose Gardner 
Rich Gardner 
Rod Gardner 
Ron Gardin 
Sauce Gardner 
Talman Gardner 
Ben Garland  
Chris Garlich 
Don Garlin 
John Garlington 
Kelvin Garmon 
Bill Garnaas 
Bill Garnjost 
Bob Garner 
Bob Garner 
Charlie Garner 
Dave Garnett 
Dwight Garner 
Hal Garner 
Joshua Garnett 
Nate Garner 
Sam Garnes 
Scott Garnett 
Winfield Garnett 
Jimmy Garoppolo 
Alvin Garrett 
Ben Garry 
Bobby Garrett 
Budge Garrett 
Carl Garrett 
Chris Garrett 
Curtis Garrett 
David Garrard 
Drake Garrett  
Dub Garrett 
Gary Garrison 
Gregg Garrity 
J.D. Garrett 
Jason Garrett 
John Garrett 
Kevin Garrett 
Larry Garron 
Len Garrett 
Leon Garror 
Mike Garrett 
Mike Garrett 
Myles Garrett 
Reggie Garrett 
Shane Garrett 
Thurman Garrett 
Walt Garrison 
Chris Gartner 
Franny Garvey 
Hec Garvey 
Jonathan Garvin 
Terence Garvin 
Cleveland Gary 
Keith Gary 
Olandis Gary 
Rashan Gary 
Russell Gary 
Shamiel Gary 
Willie Gary 
Dan Garza 
Mike Garzoni 
Roberto Garza 
Sammy Garza 
Sam Gash 
Thane Gash 
Kendall Gaskins 
Myles Gaskin 
Percell Gaskins 
Joe Gasparella 
Michael Gasperson 
Ron Gassert 
Bruce Gaston 
Mark Gastineau 
Willie Gaston 
Antonio Gates 
Clyde Gates 
Curtis Gatewood 
DeMarquis Gates 
Les Gatewood 
Lionel Gates 
Nick Gates 
Thom Gatewood 
 Gates 
Rico Gathers 
Frank Gatski 
Gregory Gatson 
Josh Gattis 
Dennis Gaubatz 
Bob Gaudio 
Charlie Gauer 
Billy Gault 
Don Gault 
Frank Gaul 
Hal Gaulke 
Rashaan Gaulden 
Willie Gault 
Steve Gaunty 
Dutch Gaustad 
Frank Gause 
Quentin Gause 
Prentice Gautt 
Mike Gavagan 
Buck Gavin 
Chuck Gavin 
Momcilo Gavric 
Kent Gaydos 
Chuck Gayer 
Willie Gay Jr. 
Rashid Gayle 
Shaun Gayle 
Trevor Gaylor 
Doug Gaynor 
Ben Gay 
Billy Gay 
Blenda Gay 
Chet Gay 
Everett Gay 
Jordan Gay 
Matt Gay 
Matt Gay 
Randall Gay 
William Gay 
William Gay 
Frank Gaziano 
Joe Gaziano 
Akbar Gbaja-Biamila 
Kabeer Gbaja-Biamila 
Cory Geason 
Clayton Geathers 
Clifton Geathers 
Jumpy Geathers 
Kwame Geathers 
Ron Geater 
Robert Geathers 
Bob Geddes 
Ken Geddes 
Ben Gedeon 
Gene Gedman 
Chris Gedney 
Bruce Gehrke 
Fred Gehrke 
Jack Gehrke 
Mark Gehring 
Kaylon Geiger 
Chris Geile 
Justin Geisinger 
Chuck Gelatka 
Stan Gelbaugh 
Byron Gentry 
Curt Gentry 
Dale Gentry 
Dennis Gentry 
Lee Gentry 
Pete Gent 
Tanner Gentry 
Weldon Gentry 
Zach Gentry 
Allan George 
Bill George 
Carl George 
Eddie George 
Ed George 
Matt George 
Jeff George 
Jeremiah George 
Jeff George 
Ray George 
Ron George 
Spencer George 
Steve George 
Tim George 
Tony George 
Sid Gepford 
John Gerak 
K.J. Gerard 
Patsy Gerardi 
Woody Gerber 
Roy Gerela 
Tom Geredine 
Chris Gerhard 
Garth Gerhart 
Toby Gerhart 
Tom Gerhart 
Joe Geri 
Jammi German 
Jimmy German 
Joe Germaine 
Reggie Germany 
Willie Germany 
Nathan Gerry 
Carl Gersbach 
Jake Gervase 
Rick Gervais 
John Gesek 
Mike Gesicki 
Chas Gessner 
Gorham Getchell 
Adam Gettis 
Charlie Getty 
David Gettis 
Fred Getz 
Lee Getz 
Bill Geyer 
Lou Ghecas 
Brandon Ghee 
Milt Ghee 
Ronnie Ghent 
Vern Ghersanich 
Eric Ghiaciuc 
Vernon Gholston 
William Gholston 
Breno Giacomini 
Ralph Giacomarro 
Louie Giammona 
Frank Giannetti 
Hal Giancanelli 
John Giannoni 
Mario Giannelli 
Nick Giaquinto 
Bill Giaver 
Donnie Gibbs 
Jack Gibbens 
Jim Gibbons 
Mike Gibbons 
Pat Gibbs 
Sonny Gibbs 
Andy Gibler 
Robert Giblin 
Abe Gibron 
Aaron Gibson 
Alec Gibson 
Antonio Gibson  
Antonio Gibson 
Brandon Gibson 
Butch Gibson 
Claude Gibson 
Damon Gibson 
David Gibson 
Dennis Gibson 
Derrick Gibson 
Dick Gibson 
Ernest Gibson 
Gary Gibson 
George Gibson 
Joe Gibson 
Mike Gibson 
Oliver Gibson 
Paul Gibson 
Paul Gibson 
Shelton Gibson 
Thaddeus Gibson 
Tom Gibson 
Frank Giddens 
Wimpy Giddens 
Jon Giesler 
Bob Gifford 
Frank Gifford 
Luke Gifford 
Wayne Gift 
Sam Giguere 
Daren Gilbert 
Freddie Gilbert 
Gale Gilbert 
Garrett Gilbert 
Jarron Gilbert 
Justin Gilbert 
Kline Gilbert 
Lewis Gilbert 
Marcus Gilbert 
Mark Gilbert 
Reggie Gilbert 
Sean Gilbert 
Tony Gilbert 
Tom Gilburg 
Ulysees Gilbert 
Wallace Gilberry 
Wally Gilbert 
Zyon Gilbert 
Cookie Gilchrist 
George Gilchrist 
Marcus Gilchrist 
Dennis Gildea 
Jason Gildon 
Johnny Gildea 
Jimmie Giles 
Joe Giles-Harris 
Garrett Gilkey 
Blake Gillikin 
Bob Gillson 
Cam Gill 
Cory Gilliard 
Crockett Gillmore 
Cullen Gillaspia 
Dondre Gilliam 
Don Gillis 
Fred Gillett 
Fred Gillies 
Gale Gillingham 
Garry Gilliam 
Hank Gillo 
Horace Gillom 
Jamie Gillan 
Jim Gillette 
Joe Gilliam 
John Gilliam 
Jon Gilliam 
John Gillen 
Joe Gillis 
John Gill 
Mike Gillislee 
Owen Gill 
Randy Gill 
Reggie Gilliam 
Roger Gill 
Scoop Gillespie 
Sloko Gill 
Trenton Gill 
Tyree Gillespie 
Walker Gillette 
Willie Gillespie 
Willie Gillus 
Alohi Gilman 
Bryan Gilmore 
Harry Gilmer 
Jim Gilmore 
John Gilmore 
Stephon Gilmore 
David Gilreath 
Johnny Gilroy 
Mardy Gilyard 
Hubert Ginn 
Jerry Ginney 
Ted Ginn Jr. 
Tommie Ginn 
Matt Giordano 
Paul Gipson 
Tashaun Gipson 
Thomas Gipson 
Trevis Gipson 
Jug Girard 
Mike Gisler 
Andrew Gissinger 
Patsy Giugliano 
Chris Givens 
David Givens 
Kevin Givens 
Reggie Givens 
Ernest Givins 
Chris Gizzi 
Scotty Glacken 
Bob Gladieux 
Chet Gladchuk 
Charles Gladman 
Jeff Gladney 
Mack Gladden 
Tony Gladney 
Joe Glamp 
Adarius Taylor 
Bill Glass 
Bill Glassgow 
Brian Glasgow 
Chip Glass 
Frank Glassman 
Glenn Glass 
Graham Glasgow 
Jordan Glasgow 
Leland Glass 
Morris Glassman 
Nesby Glasgow 
Ryan Glasgow 
Tom Glassic 
William Glass 
Fred Glatz 
Ka'lial Glaud 
Bob Glazebrook 
Charles Glaze 
Steve Gleason 
Aaron Glenn  
Bill Glenn 
Cordy Glenn 
Cody Glenn 
George Glennie 
Howard Glenn 
Jacoby Glenn 
Jason Glenn 
Kerry Glenn 
Mike Glennon 
Tarik Glenn 
Terry Glenn 
Vencie Glenn 
Ed Glick 
Fred Glick 
Gary Glick 
Norm Glockson 
Fred Gloden 
Clyde Glosson 
Andrew Glover 
Clyde Glover 
Kevin Glover 
La'Roi Glover 
LaVar Glover 
Phil Glover 
Rich Glover 
Tay Glover-Wright 
Mark Glowinski 
Larry Glueck 
Junior Glymph 
Paul Goad 
Tim Goad 
Les Goble 
Art Gob 
Chris Gocong 
Davon Godchaux 
Ed Goddard 
Jonathan Goddard 
Na'Shan Goddard 
Chris Godfrey 
Charles Godfrey 
Herb Godfrey 
Randall Godfrey 
Bill Godwin 
Chris Godwin 
Terry Godwin 
Walt Godwin 
Leo Goeas 
Brad Goebel 
Hank Goebel 
Joe Goebel 
Paul Goebel 
Dallas Goedert 
George Goeddeke 
Luke Goedeke 
Art Goerke 
Gus Goetz 
Travis Goethel 
Clark Goff 
Jared Goff 
Jonathan Goff 
Mike Goff 
Robert Goff 
Willard Goff 
Derrel Gofourth 
Kevin Gogan 
Keith Goganious 
Charlie Gogolak 
Pete Gogolak 
Dan Goich 
Nick Goings 
Adam Goldberg 
Alan Goldstein 
Bill Goldberg 
Brittan Golden 
Buckets Goldenberg 
Dashon Goldson 
Earl Goldsmith 
Eddie Goldman 
Ian Gold 
Jack Golden 
Joe Golding 
John Goldsberry 
Markus Golden 
Marshall Goldberg 
Ralph Goldston 
Robert Golden 
Sam Goldman 
Tim Golden 
Wendell Goldsmith 
Zack Golditch 
Archie Golembeski 
John Golemgeske 
Bob Golic 
Mike Golic 
Kenny Golladay 
Rudy Gollomb 
Chauncey Golston 
Gene Golsen 
Jerry Golsteyn 
Kedric Golston 
Tom Golsen 
Rick Goltz 
Chris Golub 
DeJon Gomes 
Bill Gompers 
George Gonda 
Matt Gono 
Goose Gonsoulin 
Bob Gonya 
Anthony Gonzalez 
John Gonzaga 
Joaquin Gonzalez 
Leon Gonzalez 
Noe Gonzalez 
Pete Gonzalez 
Tony Gonzalez 
Zane Gonzalez 
Jeff Gooch 
Ahmad Gooden 
Andre' Goodman 
Aubrey Goodman 
B.J. Goodson 
Bob Goodridge 
Brian Goodman 
Brett Goode 
C.J. Goodwin 
Chris Goode 
Charles Goodrum 
Clyde Goodnight 
Conrad Goode 
D'Andre Goodwin 
Darryl Goodlow 
Demetri Goodson 
Denzelle Good  
Don Goode 
Don Goodman 
Doug Goodwin 
Dwayne Goodrich 
Earl Goodwin 
Eugene Goodlow 
Harvey Goodman 
Hank Goodman 
Herbert Goodman 
Hunter Goodwin 
Irv Goode 
Joey Goodspeed 
John Goode 
John Goodman 
John Goodson 
Jonathan Goodwin 
John Goodyear 
Kerry Goode 
Kelly Goodburn 
Les Goodman 
Marquise Goodwin 
Malliciah Goodman 
Mark Goodspeed 
Mike Goodson 
Myrl Goodwin 
Najee Goode 
Owen Goodnight 
Richard Goodman 
Ron Goodwin 
Rob Goode 
Royce Goodbread 
Stephen Goodin 
Tavares Gooden 
Tom Goode 
Tom Good 
Tod Goodwin 
Zaviar Gooden 
Mike Goolsby 
Shag Goolsby 
Tom Goosby 
Ron Goovert 
Alex Gordon 
Amon Gordon 
Bobby Gordon 
Charles Gordon 
Cletis Gordon 
Cornell Gordon 
Darrien Gordon 
Dick Gordon 
Dillon Gordon 
Dwayne Gordon 
Ira Gordon 
John Gordy 
Josh Gordy 
Josh Gordon 
John Gordon 
Kyler Gordon 
Lamar Gordon 
Larry Gordon 
Lennox Gordon 
Lou Gordon 
Melvin Gordon 
Richard Gordon 
Sonny Gordon 
Steve Gordon 
Tim Gordon 
Chuck Gorecki 
Derrick Gore 
Frank Gore 
Gordon Gore 
Stacy Gore 
Alex Gorgal 
Ken Gorgal 
Pete Gorgone 
Brandon Gorin 
Walt Gorinski 
Doc Gorman 
Earl Gorman 
Tom Gormley 
Danny Gorrer 
Flop Gorrill 
Antonio Goss 
Bruce Gossett 
Colby Gossett 
Donald Goss 
Gene Gossage 
Jason Goss 
Jeff Gossett 
Stephen Gostkowski 
Preston Gothard 
Adam Gotsis 
Len Gotshalk 
Ben Gottschalk 
Darren Gottschalk 
Robbie Gould 
Kurt Gouveia 
Paul Governali 
Tay Gowan 
Cornell Gowdy 
Brian Gowins 
Toby Gowin 
Hippo Gozdowski 
Gene Grabosky 
Jim Grabowski 
Ted Grabinski 
Jermaine Grace 
Les Grace 
Steven Grace 
Bruce Gradkowski 
Garry Grady 
Gino Gradkowski 
Randy Gradishar 
Sam Graddy 
Dave Graf 
Neil Graff 
Rick Graf 
Chris Gragg 
Scott Gragg 
Aaron Graham 
Al Graham 
Art Graham 
Shayne Graham 
Ben Graham 
Brandon Graham 
Clarence Graham 
Corey Graham 
Daniel Graham 
Dave Graham 
David Graham 
DeMingo Graham 
Derrick Graham 
Don Graham 
Earnest Graham 
Fred Graham 
Garrett Graham 
Hason Graham 
Jay Graham 
Jaeden Graham 
Jeff Graham 
Jimmy Graham 
Kent Graham 
Kenny Graham 
Les Graham 
Lyle Graham 
Mike Graham 
Milt Graham 
Nick Graham 
Otto Graham 
Ray Graham 
Roger Graham 
Scottie Graham 
T.J. Graham 
Ta'Quon Graham 
Thomas Graham 
Tom Graham 
Tom Graham  
William Graham 
Ed Grain 
Bill Gramatica 
Martin Gramatica 
Aaron Grant 
African Grant 
Alan Grant 
Billy Granville 
Bob Grant 
Bud Grant 
Carl Granderson 
Charley Granger 
Charles Grant 
Cie Grant 
Corey Grant 
Curtis Grant 
Dave Grannell 
Darryl Grant 
David Grant 
DeLawrence Grant 
Deon Grant 
Doran Grant 
Ducky Grant 
Ernest Grant 
Frank Grant 
Gardie Grange 
George Grandinette 
Hoyle Granger 
Jakeem Grant 
Janarion Grant 
John Granby 
John Grant 
Ken Grandberry 
Kylen Granson 
Larry Grantham 
Larry Grant 
Len Grant 
Norm Granger 
Orantes Grant 
Otis Grant 
Red Grange 
Reggie Grant 
Richie Grant 
Rosie Grant 
Rufus Granderson 
Rupert Grant 
Ryan Grant 
Ryan Grant 
Sonny Grandelius 
Steve Grant 
Wes Grant 
Will Grant 
Hroniss Grasu 
Paul Grasmanis 
Carl Grate 
Dwayne Gratz 
Willie Grate 
Jeff Grau 
Gordon Gravelle 
Marsharne Graves 
Ray Graves 
Rory Graves 
Tom Graves 
White Graves 
Bill Gray 
Bobby Gray 
Carlton Gray 
Cecil Gray 
Chris Gray 
Cyrus Gray 
Cyril Grayson 
Dave Grayson 
Danny Gray 
Dan Gray 
David Gray 
David Grayson 
Derwin Gray 
Derwin Gray 
Earnest Gray 
Hector Gray 
J.T. Gray 
Jack Gray 
Jerry Gray 
Jim Gray 
Jonas Gray 
Johnnie Gray 
Ken Gray 
Kevin Gray 
Leon Gray 
MarQueis Gray 
Mel Gray 
Mel Gray 
Mike Graybill 
Moses Gray 
Noah Gray 
Oscar Gray 
Paul Gray 
Quinn Gray 
Sam Gray 
Tim Gray 
Torrian Gray 
Tony Graziani 
Elvis Grbac 
Gary Greaves 
Dick Grecni 
Don Greco 
John Greco 
A.J. Green 
A.J. Greene 
Aaron Green 
Ahman Green 
A.J. Green 
Alex Green 
Alex Green 
Allen Green 
Al Greene 
Al Greer 
Andrew Greene 
Arthur Green 
Barrett Green 
BenJarvus Green-Ellis 
Ben Greenberg 
Boyce Green 
Bobby Joe Green 
Bob Greenhalgh 
Brandon Green 
Bucky Greeley 
Bubba Green 
Carl Greenwood 
Charlie Green 
Chris Greenwood 
Chaz Green 
Chris Green 
Charlie Greer 
Chad Greenway 
Cleveland Green 
Cornell Green 
Cory Greenwood 
Cornell Green 
Courtney Greene 
Curtis Green 
Curtis Greer 
Darrell Green 
Dave Green 
David Green 
David Green 
Danny Greene 
David Greenwood 
Dorial Green-Beckham 
Donnie Green 
Donny Green 
Doug Greene 
Donn Greenshields 
Don Greenwood 
Donovan Greer 
Dre Greenlaw 
Duke Greenich 
E.G. Green 
Ed Greene 
Eric Green 
Ernie Green 
Eric Green 
Ethan Greenidge 
Farrod Green 
Frank Greene 
Fritz Greenlee 
Gaston Green 
Gary Green 
Gerri Green 
Glenn Greenwood 
Harold Green 
Howard Green 
Hugh Green 
Isaiah Green 
Isaiah Greenhouse 
Jacquez Green 
Jacob Green 
Jamaal Green 
Jarvis Green 
Jabari Greer 
Jerry Green 
Jessie Green 
Jim Greer 
Johnny Green 
John Green 
Joe Greene 
Jonte Green 
Jonathan Greenard 
Joe Green 
John Greene 
Justin Green 
Justin Green 
Kevin Greene 
Kendrick Green 
Kenyon Green 
Ken Greene 
Khaseem Greene 
L.C. Greenwood 
Ladarius Green 
Lamont Green 
Larry Green 
Louis Green 
Mark Green 
Marshay Green 
Marcus Green 
Marcellus Greene 
Mike Green 
Michael Green 
Mike Green 
Morlon Greenwood 
Nelson Greene 
Norm Greeney 
Paul Green 
Rashad Greene 
Rasheem Green 
Raven Greene 
Ray Green 
Robert Green 
Roy Green 
Roderick Green 
Rogerick Green 
Ron Green 
Sammy Green 
Scott Greene 
Shonn Greene 
Skyler Green 
T.J. Green 
Terry Greer 
Ted Greene 
Tion Green 
Tim Green 
Tiger Greene 
Tony Greene 
Tony Green 
Tom Greene 
Tom Greenfield 
Trent Green 
Tracy Greene 
Tyronne Green 
Van Green 
Vee Green 
Virgil Green 
Victor Green 
Willie Green 
William Green 
Woody Green 
Yatil Green 
Ted Grefe 
Ben Gregory 
Bill Gregory 
Bob Gregor 
Bruce Gregory 
Damian Gregory 
Edd Gregg 
Forrest Gregg 
Garland Gregory 
Gil Gregory 
Glynn Gregory 
Jack Gregory 
Jack Gregory 
Ken Gregory 
Kelly Gregg 
Mike Gregory 
Randy Gregory 
Steve Gregory 
Ted Gregory 
Chris Greisen 
Nick Greisen 
Hank Gremminger 
Keith Grennan 
Bob Gresham 
Clint Gresham 
Jermaine Gresham 
Visco Grgich 
Marion Grice 
Shane Grice 
Bob Griese 
Brian Griese 
Marrio Grier 
Rosey Grier 
Will Grier 
Archie Griffin 
Bob Griffin 
Bobbie Griffin 
Cedric Griffin 
Cornelius Griffin 
Courtney Griffin 
Damon Griffin 
Don Griffin 
Don Griffin 
Everson Griffen 
Forrest Griffith 
Garrett Griffin 
Glynn Griffing 
Hal Griffen 
Howard Griffith 
Homer Griffith 
James Griffin 
Jeff Griffin 
Jim Griffin 
John Griffin 
Jonas Griffith 
John Griffin 
Justin Griffith 
Keith Griffin 
Kris Griffin 
Larry Griffin 
Leonard Griffin 
Michael Griffin 
Nakia Griffin-Stewart 
Quentin Griffin 
Ray Griffin 
Red Griffiths 
Rich Griffith 
Robert Griffith 
Robert Griffin III 
Russell Griffith 
Ryan Griffin 
Ryan Griffin 
Shaquill Griffin 
Shaquem Griffin 
Stephen Griffin 
Steve Griffin 
Steve Griffin 
Wade Griffin 
Anthony Griggs 
Billy Griggs 
Boomer Grigsby 
Chubby Grigg 
David Griggs 
Frank Grigonis 
Hal Griggs 
John Grigas 
Nicholas Grigsby 
Otis Grigsby 
Perry Griggs 
Tex Grigg 
Billy Grimes 
Bob Grim 
Brent Grimes 
Cody Grimm 
Dan Grimm 
Ed Grimsley 
George Grimes 
John Grimsley 
Jonathan Grimes 
Phil Grimes 
Randy Grimes 
Reggie Grimes 
Russ Grimm 
Xavier Grimble 
David Grinnage 
Geneo Grissom 
Tyler Grisham 
Clif Groce 
DeJuan Groce 
Ron Groce 
Steve Grogan 
Bill Groman 
Chris Gronkowski 
Dan Gronkowski 
Glenn Gronkowski 
Rob Gronkowski 
